Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	23952.3	24834.3	23952.3	24834.3	1268.51563	7922.39648	319.01602	0.27100	0.98435	1169.65833	8324.74219	33	1	22	1	608.019	608.019	694.53036	13.21455	23952.3	24834.3	23952.3	24834.3	608.0	608.0
647	24112.9	25077.0	24112.9	25077.0	667.00415	3960.49707	311.61920	1.00720	0.74049	1135.14893	4220.70313	44	1	13	1	661.7	661.7	347.20371	23.51759	24112.9	25077.0	24112.9	25077.0	661.7	661.7
647	24517.9	24082.0	24517.9	24082.0	672.81152	3668.88843	299.54938	1.35966	0.76524	1286.84473	3924.43359	45	1	13	1	649.692	649.692	321.63934	24.78732	24517.9	24082.0	24517.9	24082.0	649.7	649.7
647	24484.6	24025.7	24484.6	24025.7	609.73645	6235.13330	294.69965	1.49718	0.78288	1211.79675	6600.92188	47	2	12	1	643.335	643.335	546.61356	19.29503	24484.6	24025.7	24484.6	24025.7	643.3	643.3
647	24147.3	25125.0	24147.3	25125.0	688.42316	6949.57471	417.51389	0.27073	0.53535	1234.81873	7402.96094	75	1	14	1	798.728	798.728	609.24628	24.86149	24147.3	25125.0	24147.3	25125.0	798.7	798.7
647	24485.5	24704.2	24485.5	24704.2	648.00177	5669.70313	376.49240	0.72153	1.46779	1133.51233	5945.72656	94	1	12	1	453.622	453.622	497.04416	23.89184	24485.5	24704.2	24485.5	24704.2	453.6	453.6
647	23910.1	24643.7	23910.1	24643.7	1092.53052	7840.28857	341.99918	0.56144	1.13724	1171.50928	8111.04688	104	1	15	1	563.191	563.215	687.33223	15.09614	23910.1	24643.7	23910.1	24643.7	563.2	563.2
647	23846.9	24255.0	23846.9	24255.0	2745.82007	28482.93164	293.78912	1.36811	0.87855	1250.69714	29105.67969	111	2	19	1	624.971	625.08	2497.00462	5.05488	23846.9	24255.0	23846.9	24255.0	625.0	625.0
647	24864.7	24610.7	24864.7	24610.7	697.29431	12554.66309	400.06396	1.09785	0.71020	1182.31934	13326.82813	118	2	18	1	747.872	748.067	1100.62588	17.51916	24864.7	24610.7	24864.7	24610.7	747.9	747.9
647	24787.3	24816.4	24787.3	24816.4	784.33295	8448.73242	430.65524	0.06527	0.54046	1171.54846	9098.76563	123	1	21	1	808.617	808.872	740.67249	21.44986	24787.3	24816.4	24787.3	24816.4	808.6	808.6
